Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested
ORD000001,CUST2824,JioMart,19:29.5,30,Fruits & Vegetables,382,"Fast delivery, great service!",5,No,No
ORD000002,CUST1409,Blinkit,54:29.5,16,Dairy,279,Quick and reliable!,5,No,No
ORD000003,CUST5506,JioMart,21:29.5,25,Beverages,599,Items missing from order.,2,No,Yes
ORD000004,CUST5012,JioMart,19:29.5,42,Beverages,946,Items missing from order.,2,Yes,Yes
ORD000005,CUST4657,Blinkit,49:29.5,30,Beverages,334,"Fast delivery, great service!",5,No,No
ORD000006,CUST3286,Blinkit,36:29.5,25,Personal Care,1939,Items missing from order.,2,No,Yes
ORD000007,CUST2679,JioMart,22:29.5,22,Personal Care,1693,"Fast delivery, great service!",5,No,No
ORD000008,CUST9935,Swiggy Instamart,50:29.5,16,Personal Care,195,"Horrible experience, never ordering again.",1,No,Yes
ORD000009,CUST2424,JioMart,51:29.5,39,Fruits & Vegetables,182,Very satisfied with the service.,5,No,No
ORD000010,CUST7912,JioMart,08:29.5,51,Grocery,1279,"Very late delivery, not happy.",2,Yes,Yes
ORD000011,CUST1520,JioMart,32:29.5,25,Fruits & Vegetables,553,"Fast delivery, great service!",5,No,No
ORD000012,CUST1488,JioMart,12:29.5,11,Grocery,1062,Excellent experience!,5,No,No
ORD000013,CUST2535,Blinkit,08:29.5,45,Fruits & Vegetables,516,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000014,CUST4582,JioMart,19:29.5,21,Dairy,322,"Very late delivery, not happy.",2,No,Yes
ORD000015,CUST4811,Swiggy Instamart,27:29.5,33,Fruits & Vegetables,50,"Easy to order, loved it!",5,No,No
ORD000016,CUST9279,Blinkit,07:29.5,35,Beverages,143,Good quality products.,4,No,No
ORD000017,CUST1434,Swiggy Instamart,58:29.5,41,Beverages,956,"Not fresh, disappointed.",2,Yes,Yes
ORD000018,CUST4257,Swiggy Instamart,23:29.5,27,Beverages,161,Excellent experience!,5,No,No
ORD000019,CUST9928,Swiggy Instamart,15:29.5,34,Dairy,417,"Horrible experience, never ordering again.",1,No,Yes
ORD000020,CUST7873,Swiggy Instamart,20:29.5,26,Beverages,677,Quick and reliable!,5,No,No
ORD000021,CUST4611,Blinkit,44:29.5,10,Beverages,789,Wrong item delivered.,1,No,Yes
ORD000022,CUST8359,Blinkit,57:29.5,25,Beverages,739,Delivery person was rude.,2,No,Yes
ORD000023,CUST5557,Swiggy Instamart,01:29.5,33,Beverages,486,Good quality products.,4,No,No
ORD000024,CUST1106,Swiggy Instamart,27:29.5,20,Beverages,202,Packaging could be better.,3,No,No
ORD000025,CUST3615,Blinkit,06:29.5,30,Grocery,1288,Delivery person was rude.,2,No,Yes
ORD000026,CUST7924,Blinkit,59:29.5,32,Dairy,205,Very satisfied with the service.,5,No,No
ORD000027,CUST6574,Blinkit,33:29.5,43,Fruits & Vegetables,204,Items missing from order.,2,Yes,Yes
ORD000028,CUST5552,JioMart,56:29.5,20,Dairy,334,Wrong item delivered.,1,No,Yes
ORD000029,CUST3547,JioMart,57:29.5,32,Dairy,563,"Horrible experience, never ordering again.",1,No,Yes
ORD000030,CUST4527,JioMart,53:29.5,19,Grocery,1333,"Easy to order, loved it!",5,No,No
ORD000031,CUST6514,Swiggy Instamart,08:29.5,8,Beverages,757,Excellent experience!,5,No,No
ORD000032,CUST2674,JioMart,23:29.5,25,Personal Care,1651,Packaging could be better.,3,No,No
ORD000033,CUST2519,Swiggy Instamart,08:29.5,24,Dairy,290,Quick and reliable!,5,No,No
ORD000034,CUST7224,Swiggy Instamart,28:29.5,33,Personal Care,697,"Fast delivery, great service!",5,No,No
ORD000035,CUST2584,JioMart,31:29.5,41,Personal Care,668,"Fast delivery, great service!",5,Yes,No
ORD000036,CUST6881,Swiggy Instamart,50:29.5,31,Fruits & Vegetables,582,Quick and reliable!,5,No,No
ORD000037,CUST6635,JioMart,01:29.5,23,Fruits & Vegetables,101,"Fast delivery, great service!",5,No,No
ORD000038,CUST5333,JioMart,41:29.5,21,Snacks,402,Wrong item delivered.,1,No,Yes
ORD000039,CUST1711,Blinkit,09:29.5,41,Beverages,711,Wrong item delivered.,1,Yes,Yes
ORD000040,CUST8527,JioMart,11:29.5,36,Dairy,632,Quick and reliable!,5,No,No
ORD000041,CUST9785,Blinkit,46:29.5,21,Fruits & Vegetables,516,Wrong item delivered.,1,No,Yes
ORD000042,CUST3045,JioMart,11:29.5,16,Beverages,409,"Horrible experience, never ordering again.",1,No,Yes
ORD000043,CUST7201,JioMart,37:29.5,21,Snacks,124,Delivery person was rude.,2,No,Yes
ORD000044,CUST2291,Blinkit,05:29.5,39,Grocery,1118,Quick and reliable!,5,No,No
ORD000045,CUST5803,Blinkit,26:29.5,20,Personal Care,323,"Easy to order, loved it!",5,No,No
ORD000046,CUST6925,JioMart,14:29.5,34,Snacks,174,Excellent experience!,5,No,No
ORD000047,CUST4150,Swiggy Instamart,43:29.5,46,Snacks,320,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000048,CUST2139,Blinkit,16:29.5,22,Snacks,71,Packaging could be better.,3,No,No
ORD000049,CUST1750,Swiggy Instamart,32:29.5,26,Snacks,53,"Fast delivery, great service!",5,No,No
ORD000050,CUST4733,Swiggy Instamart,59:29.5,29,Personal Care,916,Wrong item delivered.,1,No,Yes
ORD000051,CUST5741,Swiggy Instamart,04:29.5,13,Dairy,289,Quick and reliable!,5,No,No
ORD000052,CUST2307,Blinkit,16:29.5,22,Grocery,774,"Easy to order, loved it!",5,No,No
ORD000053,CUST4814,Swiggy Instamart,22:29.5,31,Beverages,917,Quick and reliable!,5,No,No
