"Order ID","Customer ID","Platform","Order Date & Time","Promised Delivery (Minutes)","Actual Delivery (Minutes)","Product Category","Order Value (INR)","Items Count","Customer Feedback","Service Rating","Delivery Delay","Refund Requested"
"ORD000001","CUST0002","Swiggy Instamart","2024-11-01 00:00:51","35","50","Personal Care","1490","3","Horrible experience, never ordering again.","1","Yes","Yes"
"ORD000002","CUST0007","Blinkit","2024-11-01 00:05:10","29","24","Personal Care","966","2","Packaging could be better.","3","No","No"
"ORD000003","CUST0002","Swiggy Instamart","2024-11-01 00:08:29","23","16","Grocery","340","5","Product quality was average.","4","No","No"
"ORD000004","CUST0001","Swiggy Instamart","2024-11-01 00:15:19","31","44","Snacks","169","12","Items missing from order.","3","Yes","No"
"ORD000005","CUST0001","Swiggy Instamart","2024-11-01 00:17:23","32","27","Personal Care","172","2","Cold items arrived melted.","2","No","No"
"ORD000006","CUST0001","Blinkit","2024-11-01 00:17:57","25","19","Snacks","484","5","Fast delivery, great service!","5","No","No"
"ORD000007","CUST0139","JioMart","2024-11-01 00:21:26","36","25","Fruits & Vegetables","375","3","Delayed and poor communication.","3","No","Yes"
"ORD000008","CUST0002","JioMart","2024-11-01 00:21:30","39","36","Fruits & Vegetables","488","8","Fast delivery, great service!","4","No","No"
"ORD000009","CUST0003","JioMart","2024-11-01 00:23:40","23","19","Snacks","318","5","Very satisfied with the service.","3","No","No"
"ORD000010","CUST2078","Blinkit","2024-11-01 00:30:00","35","32","Personal Care","334","2","Very satisfied with the service.","5","No","No"
"ORD000011","CUST0033","Blinkit","2024-11-01 00:37:35","39","32","Fruits & Vegetables","483","4","Delivery was a little slow but acceptable.","3","No","Yes"
"ORD000012","CUST0060","Swiggy Instamart","2024-11-01 00:42:56","29","20","Personal Care","895","4","Wrong item delivered.","1","No","Yes"
"ORD000013","CUST0001","Blinkit","2024-11-01 01:18:26","27","21","Beverages","283","6","Cold items arrived melted.","4","No","No"
"ORD000014","CUST0001","JioMart","2024-11-01 01:22:04","21","14","Grocery","575","8","Quick and reliable!","5","No","No"
"ORD000015","CUST0023","Blinkit","2024-11-01 01:26:27","34","64","Fruits & Vegetables","433","4","Fast delivery, great service!","3","Yes","No"
"ORD000016","CUST0001","Swiggy Instamart","2024-11-01 01:28:33","18","11","Dairy","217","6","Horrible experience, never ordering again.","3","No","No"
"ORD000017","CUST0002","Swiggy Instamart","2024-11-01 01:32:01","39","28","Fruits & Vegetables","267","3","Product quality was average.","3","No","Yes"
"ORD000018","CUST3371","Blinkit","2024-11-01 01:35:14","23","17","Dairy","331","2","Decent experience overall.","3","No","No"
"ORD000019","CUST0002","JioMart","2024-11-01 01:52:42","35","27","Personal Care","421","2","Product quality was average.","3","No","No"
"ORD000020","CUST0001","Blinkit","2024-11-01 01:53:24","26","24","Dairy","520","2","Great value for money.","5","No","No"
"ORD000021","CUST0001","Blinkit","2024-11-01 01:54:02","26","20","Beverages","340","4","Product quality was average.","5","No","Yes"
"ORD000022","CUST0002","Swiggy Instamart","2024-11-01 02:14:02","25","21","Beverages","246","7","Order was okay, nothing special.","4","No","No"
"ORD000023","CUST0003","Swiggy Instamart","2024-11-01 02:27:37","27","24","Beverages","158","2","Very satisfied with the service.","5","No","No"
"ORD000024","CUST0001","Swiggy Instamart","2024-11-01 02:28:00","26","23","Beverages","584","3","Good quality products.","4","No","No"
"ORD000025","CUST0001","Blinkit","2024-11-01 02:34:49","30","23","Snacks","227","4","Wrong item delivered.","4","No","No"
"ORD000026","CUST0254","Swiggy Instamart","2024-11-01 02:36:41","39","36","Fruits & Vegetables","279","5","Great value for money.","4","No","No"
"ORD000027","CUST0009","JioMart","2024-11-01 02:44:36","23","14","Grocery","967","4","Horrible experience, never ordering again.","2","No","Yes"
"ORD000028","CUST0001","JioMart","2024-11-01 03:01:08","24","28","Beverages","637","4","Product arrived damaged.","3","Yes","No"
"ORD000029","CUST0002","JioMart","2024-11-01 03:03:26","27","20","Dairy","316","3","Will definitely order again!","5","No","No"
"ORD000030","CUST0001","Blinkit","2024-11-01 03:04:29","22","18","Dairy","405","6","Product quality was average.","3","No","No"
"ORD000031","CUST0002","Swiggy Instamart","2024-11-01 03:31:36","34","28","Personal Care","1038","2","Fast delivery, great service!","4","No","No"
"ORD000032","CUST0001","Blinkit","2024-11-01 03:45:39","40","36","Fruits & Vegetables","212","6","Good quality products.","3","No","No"
"ORD000033","CUST0002","Swiggy Instamart","2024-11-01 03:47:10","37","33","Personal Care","1013","4","Will definitely order again!","4","No","Yes"
"ORD000034","CUST0001","JioMart","2024-11-01 03:50:21","35","29","Personal Care","1221","5","Packaging could be better.","2","No","No"
"ORD000035","CUST0001","Blinkit","2024-11-01 03:55:32","24","38","Beverages","354","5","Decent experience overall.","3","Yes","No"
"ORD000036","CUST0002","JioMart","2024-11-01 04:06:36","25","21","Beverages","359","7","Will definitely order again!","4","No","No"
"ORD000037","CUST0001","Swiggy Instamart","2024-11-01 04:10:09","21","17","Dairy","752","4","Will definitely order again!","5","No","No"
"ORD000038","CUST0001","Swiggy Instamart","2024-11-01 04:20:25","25","23","Grocery","673","3","Decent experience overall.","3","No","No"
"ORD000039","CUST0010","Swiggy Instamart","2024-11-01 04:22:13","26","22","Grocery","818","2","Smooth ordering and quick delivery.","5","No","No"
"ORD000040","CUST0001","Blinkit","2024-11-01 04:40:10","19","31","Grocery","672","6","Smooth ordering and quick delivery.","4","Yes","No"
"ORD000041","CUST0001","Swiggy Instamart","2024-11-01 04:42:06","23","15","Grocery","223","8","Smooth ordering and quick delivery.","4","No","No"
"ORD000042","CUST0017","JioMart","2024-11-01 04:44:35","26","32","Snacks","343","5","Order was okay, nothing special.","3","Yes","No"
"ORD000043","CUST0001","JioMart","2024-11-01 04:46:01","20","13","Grocery","706","6","Packaging could be better.","4","No","No"
"ORD000044","CUST0001","Blinkit","2024-11-01 04:54:41","27","42","Beverages","425","3","Very late delivery, not happy.","2","Yes","Yes"
"ORD000045","CUST0015","Swiggy Instamart","2024-11-01 04:54:58","29","22","Dairy","289","4","Great value for money.","1","No","Yes"
"ORD000046","CUST0026","Swiggy Instamart","2024-11-01 04:58:51","23","11","Dairy","459","1","Order was okay, nothing special.","3","No","Yes"
"ORD000047","CUST0001","Swiggy Instamart","2024-11-01 05:09:04","27","23","Grocery","518","4","Fast delivery, great service!","5","No","No"
"ORD000048","CUST0149","Blinkit","2024-11-01 05:13:44","29","25","Beverages","325","3","Easy to order, loved it!","5","No","No"
"ORD000049","CUST0030","Blinkit","2024-11-01 05:13:54","25","21","Grocery","2000","6","Smooth ordering and quick delivery.","5","No","No"
